source,target,value
Dilys,DILYS DERWENT,7
Dilys,Dumbledore,16
Dilys,Everard,4
Dilys,McGonagall,20
Dilys,Mr. Weasley,4
Dilys,black,4
Dobby,Barnabas,12
Dobby,Dumbledore,4
Dobby,Fred,8
Dobby,Harry,212
Dobby,Harry Potter,20
Dobby,Hermione,68
Dobby,Luna,8
Dobby,Magic,8
Dobby,Ron,12
Dobby,Sirius,12
Dobby,Umbridge,16
Dobby,Winky,8
Dobby,butterbeer,4
Dobby,face,28
Dobby,fallen,6
Dolores,Albus Dumbledore,4
Dolores,Dumbledore,32
Dolores,Edgecombe,4
Dolores,George,13
Dolores,Harry,15
Dolores,Hermione,3
Dolores,Kreacher,4
Dolores,Lupin,12
Dolores,Magic,4
Dolores,McGonagall,8
Dolores,Minerva,4
Dolores,Percival,8
Dolores,Ron,3
Dolores,SNAPE,8
Dolores,Sirius,8
Dolores,Snape,5
Dolores,Umbridge,20
Dolores,angry,12
Dolores,black,4
Dolores,face,3
Dolores,group,12
Dolores Umbridge,DOLORES UMBRIDGE,6
Dolores Umbridge,Dumbledore,15
Dolores Umbridge,Hagrid,9
Dolores Umbridge,Harry,16
Dolores Umbridge,Hermione,6
Dolores Umbridge,Kingsley,3
Dolores Umbridge,Magorian,6
Dolores Umbridge,McGonagall,9
Dolores Umbridge,Nymphadora Tonks,4
Dolores Umbridge,Sirius,4
Dolores Umbridge,Snape,19
Dolores Umbridge,Umbridge,17
Dolores Umbridge,don,4
Don,Hagrid,8
Don,Harry,4
Don,Hermione,21
Don,Parvati,4
Don,Umbridge,8
Dorcas,Aberforth,4
Dorcas,Harry,3
Doris,Hall,4
Doris,Sirius Black,6
Draco,Andromeda,8
Draco,Black,4
Draco,Draco Malfoy,4
Draco,Harry,6
Draco,Lupin,12
Draco,Malfoy,33
Draco,Parkinson,4
Draco,Snape,13
Draco Malfoy,Crabbe,51
Draco Malfoy,Goyle,6
Draco Malfoy,Hagrid,9
Draco Malfoy,Hall,3
Draco Malfoy,Harry,19
Draco Malfoy,Hermione,3
Draco Malfoy,Malfoy,12
Draco Malfoy,McGonagall,3
Draco Malfoy,Nick,6
Draco Malfoy,Ron,18
Draco Malfoy,Sirius Black,3
Draco Malfoy,Snape,28
Draco Malfoy,Umbridge,8
Draco Malfoy,angry,8
Draco Malfoy,scarlet,7
Dudley,Brutus,4
Dudley,Cedric,20
Dudley,Crabbe,4
Dudley,DUDLEY,12
Dudley,Dudley Dursley,3
